rider_name,owner,add_date,drop_date,is_replacement,rider_role,replaces_rider
Giulio Pellizzari,Daniel,2026-05-06,,False,GC,
Jonathan Milan,Daniel,2026-05-06,,False,Sprinter,
Paul Magnier,Daniel,2026-05-06,,False,Sprinter,
Jai Hindley,Daniel,2026-05-06,,False,GC,
Thymen Arensman,Daniel,2026-05-06,,False,GC,
Michael Storer,Daniel,2026-05-06,,False,GC,
Arnaud De Lie,Daniel,2026-05-06,2026-05-12,False,Sprinter,
Giulio Ciccone,Daniel,2026-05-06,,False,Stage Hunter,
Filippo Ganna,Daniel,2026-05-06,,False,Stage Hunter,
Christian Scaroni,Daniel,2026-05-06,2026-05-23,False,Stage Hunter,
Jhonatan Narváez,Daniel,2026-05-06,,False,Stage Hunter,
Javier Romo,Daniel,2026-05-06,2026-05-21,False,Stage Hunter,
Mathys Rondel,Daniel,2026-05-06,,False,GC,
Orluis Aular,Daniel,2026-05-06,,False,Sprinter / Stage Hunter,
Ben Turner,Daniel,2026-05-06,,False,Sprinter / Stage Hunter,
Casper van Uden,Daniel,2026-05-06,2026-05-18,False,Sprinter,
Lennert Van Eetvelt,Daniel,2026-05-06,2026-05-20,False,GC / Stage Hunter,
Santiago Buitrago,Daniel,2026-05-06,2026-05-09,False,GC / Stage Hunter,
Marc Soler,Daniel,2026-05-06,2026-05-09,False,Stage Hunter,
Matteo Moschetti,Daniel,2026-05-06,2026-05-09,False,Sprinter,
Matteo Malucelli,Daniel,2026-05-10,,True,Sprinter,Matteo Moschetti
Pascal Ackermann,Daniel,2026-05-10,2026-05-26,True,Sprinter,Santiago Buitrago
Madis Mihkels,Daniel,2026-05-10,,True,Sprinter,Marc Soler
Igor Arrieta,Daniel,2026-05-13,2026-05-18,True,Stage Hunter,Arnaud De Lie
Alec Segaert,Daniel,2026-05-18,,True,Stage Hunter,Arnaud De Lie
Niklas Larsen,Daniel,2026-05-18,2026-05-26,True,Stage Hunter,Casper van Uden
Andreas Leknessund,Daniel,2026-05-20,,True,Stage Hunter,Lennert Van Eetvelt
Igor Arrieta,Daniel,2026-05-21,,True,Stage Hunter,Javier Romo
Casper van Uden,Daniel,2026-05-23,,True,Sprinter,Christian Scaroni
Einer Rubio,Daniel,2026-05-26,,True,Stage Hunter,Casper van Uden
Alberto Bettiol,Daniel,2026-05-26,,True,Stage Hunter,Santiago Buitrago
Felix Gall,Tanner,2026-05-06,,False,GC,
Tobias Lund Andresen,Tanner,2026-05-06,,False,Sprinter,
Adam Yates,Tanner,2026-05-06,2026-05-10,False,GC,
Egan Bernal,Tanner,2026-05-06,,False,GC,
Kaden Groves,Tanner,2026-05-06,2026-05-12,False,Sprinter,
Dylan Groenewegen,Tanner,2026-05-06,,False,Sprinter,
Derek Gee-West,Tanner,2026-05-06,,False,GC,
Jay Vine,Tanner,2026-05-06,2026-05-09,False,Stage Hunter,
Corbin Strong,Tanner,2026-05-06,,False,Sprinter,
Paul Penhoët,Tanner,2026-05-06,,False,Sprinter,
Ben O'Connor,Tanner,2026-05-06,,False,GC,
Jan Christen,Tanner,2026-05-06,,False,Stage Hunter,
Enric Mas,Tanner,2026-05-06,,False,GC,
Davide Piganzoli,Tanner,2026-05-06,,False,GC,
Alessandro Pinarello,Tanner,2026-05-06,,False,GC / Stage Hunter,
Ethan Vernon,Tanner,2026-05-06,,False,Sprinter,
Magnus Sheffield,Tanner,2026-05-06,,False,Stage Hunter,
Chris Harper,Tanner,2026-05-06,2026-05-18,False,GC / Stage Hunter,
Aleksandr Vlasov,Tanner,2026-05-06,,False,Stage Hunter,
Michael Valgren,Tanner,2026-05-06,,False,Stage Hunter,
Filippo Zana,Tanner,2026-05-10,2026-05-18,True,GC / Stage Hunter,Adam Yates
Erlend Blikra,Tanner,2026-05-11,2026-05-20,True,Sprinter,Jay Vine
Damiano Caruso,Tanner,2026-05-12,,True,GC,Kaden Groves
Afonso Eulálio,Tanner,2026-05-18,,True,GC,Adam Yates
Davide Ballerini,Tanner,2026-05-18,2026-05-20,True,Stage Hunter,Chris Harper
Guillermo Thomas Silva,Tanner,2026-05-20,,True,Stage Hunter,Chris Harper
António Morgado,Tanner,2026-05-20,2026-05-26,True,Stage Hunter,Jay Vine
Jasper Stuyven,Tanner,2026-05-26,,True,Stage Hunter,Jay Vine
